n_classes,injected_noise_rate,true_noise_rate_mean,true_noise_rate_std,estimated_noise_rate_mean,estimated_noise_rate_std,issue_precision_mean,issue_recall_mean,oof_auroc_vs_clean_mean,class_sep
3,0.5,0.5024000000000001,0.0098974744253268,0.4754666666666667,0.00075718777944,0.6262075537026254,0.5929130913788329,0.6711087459809502,0.3
4,0.0,0.0,0.0,0.3992666666666666,0.0139001199035595,0.0,,0.6703946311111112,0.3
4,0.05,0.0517333333333333,0.0019629909152447,0.4068666666666667,0.0140304430911262,0.0817942310985433,0.6434245840042941,0.6700965155555556,0.3
4,0.1,0.1034,0.001,0.4146,0.0120199833610533,0.1588385379492337,0.6364092546815057,0.6689480177777778,0.3
4,0.15,0.1542,0.0024979991993593,0.4227333333333333,0.0108744348512156,0.2276139447665287,0.6240414254830475,0.6664895466666666,0.3
4,0.2,0.2061333333333333,0.0031005375877955,0.4266666666666667,0.009544282756359,0.2941050588148394,0.6085326283028976,0.6637656888888889,0.3
4,0.25,0.255,0.0039949968710876,0.4299333333333333,0.0001154700538379,0.3595911565141169,0.6063197046545699,0.6637300977777778,0.3
4,0.3,0.3047333333333333,0.0010263202878893,0.4366666666666667,0.0010066445913694,0.4170911071152055,0.597665481864655,0.6584758399999999,0.3
4,0.35,0.3553333333333333,0.0033306655991458,0.4507333333333334,0.006312949653952,0.4623505066163337,0.5864573768023389,0.656601208888889,0.3
4,0.4,0.4037333333333333,0.0032145502536643,0.4457333333333333,0.0065309519469472,0.5147787807992961,0.5683877787070889,0.6520383644444444,0.3
4,0.45,0.4546666666666666,0.0088189190569668,0.4545999999999999,0.0052,0.5667608949457885,0.5665787505470868,0.6483992177777778,0.3
4,0.5,0.5024000000000001,0.0098974744253268,0.4605333333333333,0.0075797977105812,0.6075853148692966,0.5569950136258556,0.6385922133333334,0.3
2,0.0,0.0,0.0,0.0228,0.0141746252155039,0.0,,0.9726827733333336,1.0
2,0.05,0.0517333333333333,0.0019629909152447,0.0707999999999999,0.0105830052442583,0.611552181031334,0.818864978285268,0.9730267733333332,1.0
2,0.1,0.1034,0.001,0.1207333333333333,0.0091243264591603,0.7289464668875065,0.8464545028420671,0.97243776,1.0
2,0.15,0.1542,0.0024979991993593,0.1724666666666666,0.0118563625675556,0.7813713978537756,0.8709778879576259,0.9718563733333332,1.0
2,0.2,0.2061333333333333,0.0031005375877955,0.2240666666666666,0.0110459645723374,0.8095481181223954,0.8781897239112246,0.97082832,1.0
2,0.25,0.255,0.0039949968710876,0.2730666666666666,0.0119621625692569,0.8289523362426143,0.886472316355869,0.9698997866666668,1.0
2,0.3,0.3047333333333333,0.0010263202878893,0.3214666666666667,0.0065002564051992,0.8482750726090839,0.8945022734651354,0.96876032,1.0
2,0.35,0.3553333333333333,0.0033306655991458,0.3725333333333333,0.0075374619954818,0.8540810715450062,0.8953227012399977,0.9630281066666668,1.0
2,0.4,0.4037333333333333,0.0032145502536643,0.4172,0.0098772465798925,0.8457313627928116,0.8741021903505327,0.9476529066666668,1.0
2,0.45,0.4546666666666666,0.0088189190569668,0.4600666666666666,0.0147327300027297,0.7929098522099225,0.8026045685402545,0.8920052799999999,1.0
2,0.5,0.5024000000000001,0.0098974744253268,0.4821999999999999,0.0382972583875138,0.4861669585721073,0.466115895141421,0.47751424,1.0
3,0.0,0.0,0.0,0.0377333333333333,0.0172062004327897,0.0,,0.9776129598109,1.0
3,0.05,0.0517333333333333,0.0019629909152447,0.0831333333333333,0.0206391214283295,0.5706075420597213,0.8796369492021666,0.9767039186740236,1.0
